country;iso2;iso3;year;new;diag;sex;age_low;age_high;value
Afghanistan;AF;AFG;1980;new;sp;m;00;14;NA
Afghanistan;AF;AFG;1980;new;sp;m;15;24;NA
Afghanistan;AF;AFG;1980;new;sp;m;25;34;NA
Afghanistan;AF;AFG;1980;new;sp;m;35;44;NA
Afghanistan;AF;AFG;1980;new;sp;m;45;54;NA
Afghanistan;AF;AFG;1980;new;sp;m;55;64;NA
Afghanistan;AF;AFG;1980;new;sp;m;65;99;NA
Afghanistan;AF;AFG;1980;new;sp;f;00;14;NA
Afghanistan;AF;AFG;1980;new;sp;f;15;24;NA
Afghanistan;AF;AFG;1980;new;sp;f;25;34;NA
Afghanistan;AF;AFG;1980;new;sp;f;35;44;NA
Afghanistan;AF;AFG;1980;new;sp;f;45;54;NA
Afghanistan;AF;AFG;1980;new;sp;f;55;64;NA
Afghanistan;AF;AFG;1980;new;sp;f;65;99;NA
Afghanistan;AF;AFG;1980;new;sn;m;00;14;NA
Afghanistan;AF;AFG;1980;new;sn;m;15;24;NA
Afghanistan;AF;AFG;1980;new;sn;m;25;34;NA
Afghanistan;AF;AFG;1980;new;sn;m;35;44;NA
Afghanistan;AF;AFG;1980;new;sn;m;45;54;NA
Afghanistan;AF;AFG;1980;new;sn;m;55;64;NA
Afghanistan;AF;AFG;1980;new;sn;m;65;99;NA
Afghanistan;AF;AFG;1980;new;sn;f;00;14;NA
Afghanistan;AF;AFG;1980;new;sn;f;15;24;NA
Afghanistan;AF;AFG;1980;new;sn;f;25;34;NA
Afghanistan;AF;AFG;1980;new;sn;f;35;44;NA
Afghanistan;AF;AFG;1980;new;sn;f;45;54;NA
Afghanistan;AF;AFG;1980;new;sn;f;55;64;NA
Afghanistan;AF;AFG;1980;new;sn;f;65;99;NA
Afghanistan;AF;AFG;1980;new;ep;m;00;14;NA
Afghanistan;AF;AFG;1980;new;ep;m;15;24;NA
Afghanistan;AF;AFG;1980;new;ep;m;25;34;NA
Afghanistan;AF;AFG;1980;new;ep;m;35;44;NA
Afghanistan;AF;AFG;1980;new;ep;m;45;54;NA
Afghanistan;AF;AFG;1980;new;ep;m;55;64;NA
Afghanistan;AF;AFG;1980;new;ep;m;65;99;NA
Afghanistan;AF;AFG;1980;new;ep;f;00;14;NA
Afghanistan;AF;AFG;1980;new;ep;f;15;24;NA
Afghanistan;AF;AFG;1980;new;ep;f;25;34;NA
Afghanistan;AF;AFG;1980;new;ep;f;35;44;NA
Afghanistan;AF;AFG;1980;new;ep;f;45;54;NA
Afghanistan;AF;AFG;1980;new;ep;f;55;64;NA
Afghanistan;AF;AFG;1980;new;ep;f;65;99;NA
Afghanistan;AF;AFG;1980;new;rel;m;00;14;NA
Afghanistan;AF;AFG;1980;new;rel;m;15;24;NA
Afghanistan;AF;AFG;1980;new;rel;m;25;34;NA
Afghanistan;AF;AFG;1980;new;rel;m;35;44;NA
Afghanistan;AF;AFG;1980;new;rel;m;45;54;NA
Afghanistan;AF;AFG;1980;new;rel;m;55;64;NA
Afghanistan;AF;AFG;1980;new;rel;m;65;99;NA
Afghanistan;AF;AFG;1980;new;rel;f;00;14;NA
Afghanistan;AF;AFG;1980;new;rel;f;15;24;NA
